time_index,air_temperature,dhi,dni,ghi,surface_albedo,wind_speed
2021-01-01 00:30:00-07:00,-13.8,0,0,0,0.8,5.2
2021-01-01 01:30:00-07:00,-13.7,0,0,0,0.8,5.3
2021-01-01 02:30:00-07:00,-13.6,0,0,0,0.8,5.3
2021-01-01 03:30:00-07:00,-13.5,0,0,0,0.8,5.2
2021-01-01 04:30:00-07:00,-13.5,0,0,0,0.8,5.1
2021-01-01 05:30:00-07:00,-13.5,0,0,0,0.8,4.9
2021-01-01 06:30:00-07:00,-13.5,0,0,0,0.8,4.8
2021-01-01 07:30:00-07:00,-12.6,0,0,0,0.8,4.9
2021-01-01 08:30:00-07:00,-10.7,16,0,16,0.8,5.3
2021-01-01 09:30:00-07:00,-9.0,38,0,38,0.8,5.5
2021-01-01 10:30:00-07:00,-7.8,105,0,105,0.8,5.5
2021-01-01 11:30:00-07:00,-7.3,133,0,133,0.8,5.4
2021-01-01 12:30:00-07:00,-7.0,156,10,160,0.8,5.3
2021-01-01 13:30:00-07:00,-7.0,135,513,343,0.8,5.1
2021-01-01 14:30:00-07:00,-7.3,52,922,345,0.8,4.8
2021-01-01 15:30:00-07:00,-8.2,38,790,188,0.8,4.3
2021-01-01 16:30:00-07:00,-8.7,14,408,28,0.8,4.0
2021-01-01 17:30:00-07:00,-10.0,0,0,0,0.8,4.0
2021-01-01 18:30:00-07:00,-10.5,0,0,0,0.8,4.3
2021-01-01 19:30:00-07:00,-11.0,0,0,0,0.8,4.7
2021-01-01 20:30:00-07:00,-11.4,0,0,0,0.8,5.3
2021-01-01 21:30:00-07:00,-11.8,0,0,0,0.8,5.9
2021-01-01 22:30:00-07:00,-11.8,0,0,0,0.8,6.5
2021-01-01 23:30:00-07:00,-11.4,0,0,0,0.8,6.9
2021-01-02 00:30:00-07:00,-10.8,0,0,0,0.8,7.2
2021-01-02 01:30:00-07:00,-10.2,0,0,0,0.8,6.9
2021-01-02 02:30:00-07:00,-9.9,0,0,0,0.8,6.3
2021-01-02 03:30:00-07:00,-9.4,0,0,0,0.8,6.2
2021-01-02 04:30:00-07:00,-8.5,0,0,0,0.8,6.4
2021-01-02 05:30:00-07:00,-7.9,0,0,0,0.8,6.5
2021-01-02 06:30:00-07:00,-7.5,0,0,0,0.8,6.4
2021-01-02 07:30:00-07:00,-6.5,0,0,0,0.8,6.1
2021-01-02 08:30:00-07:00,-4.3,49,0,49,0.8,5.9
2021-01-02 09:30:00-07:00,-1.6,74,0,74,0.8,6.1
2021-01-02 10:30:00-07:00,0.7,167,52,187,0.8,6.0
2021-01-02 11:30:00-07:00,2.1,187,42,206,0.8,5.6
2021-01-02 12:30:00-07:00,2.8,205,91,246,0.8,4.9
2021-01-02 13:30:00-07:00,2.7,137,5,139,0.8,4.0
2021-01-02 14:30:00-07:00,1.5,45,926,341,0.8,3.0
2021-01-02 15:30:00-07:00,-0.9,34,797,187,0.8,1.9
2021-01-02 16:30:00-07:00,-2.3,16,0,16,0.8,1.5
2021-01-02 17:30:00-07:00,-3.7,0,0,0,0.77,1.2
2021-01-02 18:30:00-07:00,-4.3,0,0,0,0.77,1.3
2021-01-02 19:30:00-07:00,-4.8,0,0,0,0.77,1.3
2021-01-02 20:30:00-07:00,-5.2,0,0,0,0.77,1.2
2021-01-02 21:30:00-07:00,-5.6,0,0,0,0.77,1.1
2021-01-02 22:30:00-07:00,-6.0,0,0,0,0.77,1.0
2021-01-02 23:30:00-07:00,-6.2,0,0,0,0.77,1.0
2021-01-03 00:30:00-07:00,-6.1,0,0,0,0.77,1.1
2021-01-03 01:30:00-07:00,-5.9,0,0,0,0.77,1.2
2021-01-03 02:30:00-07:00,-5.8,0,0,0,0.77,1.3
2021-01-03 03:30:00-07:00,-5.9,0,0,0,0.77,1.3
2021-01-03 04:30:00-07:00,-5.9,0,0,0,0.77,1.3
2021-01-03 05:30:00-07:00,-6.4,0,0,0,0.77,0.9
2021-01-03 06:30:00-07:00,-7.5,0,0,0,0.77,0.5
2021-01-03 07:30:00-07:00,-6.8,0,0,0,0.77,0.4
2021-01-03 08:30:00-07:00,-4.2,64,33,69,0.77,0.3
2021-01-03 09:30:00-07:00,-1.9,47,895,318,0.77,0.3
2021-01-03 10:30:00-07:00,0.0,56,959,438,0.77,0.7
2021-01-03 11:30:00-07:00,1.1,59,989,504,0.77,1.0
2021-01-03 12:30:00-07:00,1.6,60,989,509,0.77,0.9
2021-01-03 13:30:00-07:00,1.5,58,964,453,0.77,0.9
2021-01-03 14:30:00-07:00,0.6,51,906,342,0.77,1.0
2021-01-03 15:30:00-07:00,-1.6,39,771,188,0.77,1.2
2021-01-03 16:30:00-07:00,-3.1,15,394,31,0.77,1.4
2021-01-03 17:30:00-07:00,-5.6,0,0,0,0.8,1.6
2021-01-03 18:30:00-07:00,-6.6,0,0,0,0.8,1.3
2021-01-03 19:30:00-07:00,-7.5,0,0,0,0.8,1.2
2021-01-03 20:30:00-07:00,-8.1,0,0,0,0.8,1.2
2021-01-03 21:30:00-07:00,-8.4,0,0,0,0.8,1.4
2021-01-03 22:30:00-07:00,-8.5,0,0,0,0.8,1.8
2021-01-03 23:30:00-07:00,-8.6,0,0,0,0.8,2.2
2021-01-04 00:30:00-07:00,-8.5,0,0,0,0.8,2.6
2021-01-04 01:30:00-07:00,-8.5,0,0,0,0.8,2.8
2021-01-04 02:30:00-07:00,-8.5,0,0,0,0.8,3.0
2021-01-04 03:30:00-07:00,-8.6,0,0,0,0.8,3.1
2021-01-04 04:30:00-07:00,-8.7,0,0,0,0.8,3.4
2021-01-04 05:30:00-07:00,-8.9,0,0,0,0.8,3.7
2021-01-04 06:30:00-07:00,-8.6,0,0,0,0.8,4.1
2021-01-04 07:30:00-07:00,-7.0,0,0,0,0.8,4.5
2021-01-04 08:30:00-07:00,-3.7,32,769,164,0.8,4.7
2021-01-04 09:30:00-07:00,-0.2,44,916,323,0.8,4.4
2021-01-04 10:30:00-07:00,2.3,53,979,444,0.8,4.3
2021-01-04 11:30:00-07:00,3.6,58,1005,511,0.8,4.2
2021-01-04 12:30:00-07:00,3.8,58,995,511,0.8,4.3
2021-01-04 13:30:00-07:00,3.3,55,973,456,0.8,4.3
2021-01-04 14:30:00-07:00,2.0,50,911,345,0.8,4.0
2021-01-04 15:30:00-07:00,-0.4,38,795,194,0.8,3.6
2021-01-04 16:30:00-07:00,-1.9,16,428,34,0.8,3.6
2021-01-04 17:30:00-07:00,-3.2,0,0,0,0.72,4.0
2021-01-04 18:30:00-07:00,-3.6,0,0,0,0.72,4.5
2021-01-04 19:30:00-07:00,-3.6,0,0,0,0.72,4.9
