,location,lat,lon,GHIs
0,USA_NY_New__York-J__F__Kennedy__Intl__AP__744860_TMY3,40.65,-73.8,"[163590, 179555, 179291, 184561, 125054, 839794]"
1,USA_TX_Austin-Mueller__Muni__AP__722540_TMY3,30.29,-97.74,"[170910, 192365, 216594, 188296, 160526, 930830]"
2,USA_CO_Aspen-Pitkin__County-Sardy__Field__724676_TMY3,39.22,-106.87,"[212107, 224044, 197997, 186720, 153916, 983233]"
3,USA_TX_Cotulla__AP__722526_TMY3,28.45,-99.22,"[187696, 187958, 192278, 198692, 167770, 942406]"
4,USA_KY_Lexington__724220_TMY2,38.03,-84.6,"[176568, 194714, 185546, 166595, 130424, 858552]"
5,USA_AK_Nome__702000_TMY2,64.5,-165.43,"[151798, 158281, 139205, 106160, 66142, 626504]"
6,USA_NE_ONeill-Baker__Field__725566_TMY3,42.47,-98.68,"[134223, 176404, 207717, 165831, 133226, 824849]"
7,USA_IN_Indianapolis__724380_TMY2,39.73,-86.28,"[179392, 194299, 198073, 174056, 134233, 888154]"
8,USA_MN_Edin__Prairie-Flying__Cloud__AP__726579_TMY3,44.82,-93.45,"[170641, 160835, 200256, 182395, 123394, 845691]"
9,USA_FL_West__Palm__Beach__Intl__AP__722030_TMY3,26.68,-80.1,"[183824, 174574, 188069, 171088, 149425, 874090]"
10,USA_NE_Hastings__Muni__AP__725525_TMY3,40.6,-98.43,"[192113, 206692, 224361, 178649, 140359, 946631]"
11,USA_FL_Miami__Intl__AP__722020_TMY,25.82,-80.28,"[168460, 158369, 170906, 165414, 141535, 811622]"
12,USA_MA_Nantucket__Mem__AP__725063_TMY3,41.25,-70.07,"[138308, 179085, 194504, 164409, 139811, 823667]"
13,USA_GA_Marietta-Dobbins__AFB__722270_TMY3,33.92,-84.52,"[176502, 164458, 168507, 158002, 132734, 804601]"
14,USA_NM_Deming__Muni__AP__722725_TMY3,32.25,-107.72,"[235356, 238123, 217471, 190892, 187140, 1077648]"
15,USA_MI_Cadillac-Wexford__County__AP__726384_TMY3,44.28,-85.42,"[162250, 185927, 188187, 152118, 109992, 801507]"
16,USA_NC_Greensboro-Piedmont__Triad__Intl__AP__723170_TMY,36.08,-79.95,"[166982, 190050, 180406, 165395, 130253, 840623]"
17,USA_CA_Santa__Barbara__Muni__AP__723925_TMY3,34.43,-119.85,"[214783, 222291, 219938, 212095, 165492, 1042428]"
18,USA_NY_Elmira__Rgnl__AP__725156_TMY3,42.17,-76.9,"[166108, 137806, 150113, 135563, 101763, 698762]"
19,USA_FL_Miami-Kendall-Tamiami__Executive__AP__722029_TMY3,25.65,-80.43,"[195854, 149877, 187399, 170847, 126252, 836313]"
20,USA_TX_Austin__722540_TMY2,30.3,-97.7,"[176632, 198287, 209927, 194713, 157302, 943564]"
21,USA_IL_Chicago-OHare__Intl__AP__725300_TMY3,41.98,-87.92,"[177700, 188794, 191469, 160004, 125779, 851320]"
22,USA_AK_Chulitna__702606_TMY3,62.88,-149.83,"[71414, 117545, 75143, 82876, 67935, 417664]"
23,USA_TX_Midland__Intl__AP__722650_TMY3,31.95,-102.18,"[210403, 216435, 219725, 208884, 156202, 1017123]"
24,USA_AK_Anchorage-Elmendorf__AFB__702720_TMY3,61.25,-149.8,"[150121, 183699, 145209, 115272, 77043, 677712]"
25,USA_CA_Sacramento__Exec__AP__724830_TMY3,38.5,-121.5,"[220240, 234829, 242810, 217472, 175691, 1099563]"
26,USA_LA_Lake__Charles__Rgnl__AP__722400_TMY,30.12,-93.22,"[178558, 190437, 173406, 153414, 138930, 839137]"
27,USA_NY_Massena__AP__726223_TMY3,44.93,-74.85,"[160188, 175851, 191024, 157442, 120078, 812484]"
28,USA_PA_State__College-Penn__State__University__725128_TMY3,40.72,-77.93,"[118217, 177907, 184081, 145416, 123818, 757559]"
29,USA_NH_Concord__726050_TMY2,43.2,-71.5,"[168132, 182457, 186000, 164826, 123030, 832238]"
30,USA_FL_Pensacola-Forest__Sherman__NAS__722225_TMY3,30.35,-87.32,"[208708, 188566, 171940, 165188, 156535, 898467]"
31,USA_NY_Niagara__Falls__Intl__AP__725287_TMY3,43.1,-78.95,"[132750, 188365, 190288, 138047, 100222, 751904]"
32,USA_TX_Corpus__Christi__Intl__AP__722510_TMY3,27.88,-97.63,"[167578, 183333, 197780, 182216, 156188, 892542]"
33,USA_TX_San__Antonio__722536_TMY2,29.53,-98.47,"[182006, 197546, 218873, 200309, 161813, 965280]"
34,USA_OK_Oklahoma__City__723530_TMY2,35.4,-97.6,"[182324, 199709, 210166, 193578, 150883, 941693]"
35,USA_MS_Meridian-Key__Field__722340_TMY,32.33,-88.75,"[175411, 185118, 183737, 177416, 139112, 864397]"
36,USA_GA_Macon__722170_TMY2,32.7,-83.65,"[187762, 181519, 189125, 172793, 136462, 871632]"
37,USA_IA_Denison__Muni__AP__725477_TMY3,41.98,-95.38,"[113641, 165263, 210982, 172609, 149011, 815782]"
38,USA_CT_Bridgeport__725040_TMY2,41.17,-73.13,"[165328, 175886, 177014, 158901, 123281, 805135]"
39,USA_NM_Albuquerque__Intl__AP__723650_TMY3,35.04,-106.62,"[215511, 230659, 229109, 216485, 173840, 1072461]"
40,USA_GA_Atlanta__722190_TMY2,33.65,-84.43,"[190359, 194097, 196039, 180974, 142191, 909672]"
41,USA_WA_Pasco-Tri__Cities__AP__727845_TMY3,46.27,-119.12,"[187380, 215685, 232322, 204756, 150795, 998323]"
42,USA_NC_Cherry__Point__MCAS__723090_TMY3,34.9,-76.88,"[183894, 191693, 179001, 151753, 129055, 840972]"
43,USA_UT_Ogden-Hinkley__AP__725750_TMY3,41.2,-112.02,"[220444, 234048, 241274, 208860, 162115, 1075329]"
44,USA_AZ_Phoenix-Sky__Harbor__Intl__AP__722780_TMY3,33.45,-111.98,"[234527, 249536, 236091, 220940, 190206, 1139939]"
45,USA_AZ_Winslow__Muni__AP__723740_TMY,35.03,-110.71,"[248562, 257879, 232880, 208310, 182686, 1138357]"
46,USA_AL_Auburn-Opelika__AP__722284_TMY3,32.62,-85.43,"[198222, 204446, 199277, 195473, 155865, 959091]"
47,USA_NE_Fremont__Muni__AP__725564_TMY3,41.45,-96.52,"[183614, 194055, 175940, 162001, 130008, 853824]"
48,USA_CA_Bishop__AP__724800_TMY3,37.37,-118.35,"[232770, 248849, 248372, 229989, 178543, 1146223]"
49,USA_MD_Baltimore-Washington__Intl__AP__724060_TMY3,39.17,-76.68,"[169001, 193782, 185464, 162967, 129044, 845776]"
50,USA_OH_Mansfield__725246_TMY2,40.82,-82.52,"[172651, 184210, 188732, 161821, 128066, 838024]"
51,USA_OK_Lawton__Muni__AP__723575_TMY3,34.57,-98.42,"[195530, 204429, 211138, 203583, 140074, 962055]"
52,USA_PA_Franklin-Chess__Lemberton__AP__725267_TMY3,41.38,-79.87,"[169639, 172057, 182108, 175739, 141297, 848452]"
53,USA_MN_Bemidji__Muni__AP__727550_TMY3,47.5,-94.93,"[180193, 177080, 184711, 159146, 126658, 835619]"
54,USA_ME_Caribou__727120_TMY2,46.87,-68.02,"[153742, 172200, 169662, 149571, 108011, 761120]"
55,USA_AK_Iliamna__AP__703400_TMY3,59.75,-154.92,"[185445, 136938, 144717, 103987, 85329, 663723]"
56,USA_AR_Harrison__AP__723446_TMY3,36.27,-93.15,"[169269, 156193, 201333, 175866, 137118, 845022]"
57,USA_ID_Pocatello__Muni__AP__725780_TMY3,42.92,-112.57,"[188863, 220624, 229230, 205937, 154118, 1003714]"
58,USA_GA_Valdosta-Moody__AFB__747810_TMY3,30.97,-83.2,"[196513, 165741, 156618, 164376, 140029, 829897]"
59,USA_AK_Talkeetna__State__AP__702510_TMY3,62.32,-150.1,"[136176, 156759, 142578, 106149, 71350, 620222]"
60,USA_LA_Monroe__Rgnl__AP__722486_TMY3,32.52,-92.03,"[181575, 175476, 195245, 171722, 151221, 882277]"
61,USA_NM_Farmington-Four__Corners__Rgnl__AP__723658_TMY3,36.75,-108.23,"[221131, 249069, 224989, 214683, 170528, 1089250]"
62,USA_NC_Asheville__Rgnl__AP__723150_TMY3,35.43,-82.53,"[169960, 185085, 187189, 166374, 131006, 846845]"
