,period,xgap,hubheight,rtr,ground,front,rear
0,5TO5,0.0,1.5,5.0,"[0.26081974 0.25438044 0.28064243 0.30288475 0.34186668 0.37514402
 0.42085225 0.45304236 0.48431414 0.49607947 0.51454298 0.50482805
 0.51270272 0.53601603 0.56606738 0.58747835 0.60627637 0.60768388
 0.64109381 0.65232049 0.65838276 0.6721554  0.6733359  0.69530778
 0.6822804  0.68951161 0.68235244 0.67989648 0.66758023 0.66361367
 0.66389884 0.64409857 0.63063355 0.60183514 0.57254718 0.5548012
 0.54967649 0.50605957 0.48549739 0.46318514 0.44873668 0.43791531
 0.43405098 0.39216416 0.37402781 0.33172678 0.30734497 0.27810691
 0.26816344 0.25797528 0.25625919]","[1.20518214 1.21448728 1.21953848 1.22410186 1.22780996 1.22695112
 1.2228129  1.21763019 1.20788062]","[0.10517483 0.09985882 0.09499907 0.09215837 0.09128719 0.09157962
 0.09382527 0.09721713 0.10153822]"
1,6TO6,0.0,1.5,5.0,"[0.26243104 0.2668241  0.29057491 0.30518125 0.32321286 0.35796755
 0.39991466 0.43815628 0.4785641  0.48560891 0.49825736 0.49957786
 0.51067026 0.52312223 0.55680334 0.5710985  0.62633743 0.64197596
 0.63890655 0.65425603 0.65663744 0.65029034 0.66809173 0.66226765
 0.66543709 0.65698532 0.66007345 0.64577283 0.63514162 0.63069002
 0.62922817 0.63528358 0.63395315 0.62567346 0.58103357 0.55923359
 0.52080609 0.50369694 0.47497057 0.45871648 0.4497101  0.43964964
 0.42626222 0.38947871 0.36586969 0.30743173 0.28385078 0.275601
 0.27783593 0.27033152 0.27166891]","[1.1872566  1.1997157  1.2066851  1.19870383 1.19767893 1.19619134
 1.19351343 1.18670182 1.18620206]","[0.10568047 0.09994994 0.09536697 0.09276719 0.09171357 0.09205114
 0.09371572 0.09743064 0.10162049]"
2,7TO7,0.0,1.5,5.0,"[0.25161816 0.25782055 0.30849813 0.32303445 0.34038564 0.3779354
 0.43246006 0.47812247 0.51486788 0.54047196 0.55815815 0.53374958
 0.5513419  0.57911579 0.6083245  0.61510787 0.62159684 0.64657441
 0.65504561 0.66138151 0.66541383 0.68246383 0.69562508 0.68582665
 0.6893308  0.66921055 0.66028385 0.6636623  0.64277291 0.64288687
 0.63436641 0.61864476 0.60971055 0.58306348 0.53518907 0.50874557
 0.48356387 0.46199773 0.42953076 0.43366752 0.42291515 0.41690219
 0.40597002 0.35214687 0.33174956 0.2846162  0.26530468 0.2537627
 0.24538019 0.24320332 0.25088456]","[1.19017759 1.19935502 1.21110013 1.21700227 1.22362019 1.22495803
 1.22123524 1.21254298 1.2016794 ]","[0.10477258 0.09869169 0.0938141  0.09083452 0.08985556 0.08986434
 0.09197306 0.0955435  0.10012869]"
3,8TO8,0.0,1.5,5.0,"[0.26191086 0.27247465 0.28000566 0.29319022 0.33444039 0.36491261
 0.41124178 0.42173708 0.49064126 0.50874582 0.54006424 0.55509934
 0.55764816 0.56698207 0.58154109 0.59629945 0.60529195 0.61921012
 0.64018264 0.65410431 0.66437825 0.67091042 0.67401228 0.66495149
 0.66576192 0.66727787 0.66044505 0.66286035 0.66575948 0.6615292
 0.65488001 0.63210021 0.6225315  0.59273187 0.56976    0.55675883
 0.51220456 0.49185252 0.45737043 0.44357986 0.40679597 0.38735751
 0.36976853 0.35278255 0.34567101 0.33304829 0.30031964 0.27371501
 0.25833336 0.25256524 0.26538481]","[1.21420846 1.22133707 1.21721588 1.22528932 1.22002879 1.2240534
 1.22610761 1.22341829 1.20874196]","[0.1049175  0.09896671 0.09449443 0.09126155 0.0904488  0.09061168
 0.09283462 0.09648746 0.10127839]"
4,9TO9,0.0,1.5,5.0,"[0.26986606 0.27814851 0.29391922 0.31981571 0.33734743 0.36254635
 0.38264105 0.4186131  0.4380814  0.4386886  0.45734485 0.46537408
 0.48796511 0.52542027 0.54781981 0.57304645 0.57909163 0.61096647
 0.62364965 0.64578994 0.63684397 0.64044051 0.64694618 0.64741718
 0.6396808  0.63490093 0.63630258 0.63043601 0.61144038 0.61643476
 0.60307563 0.59778982 0.57563829 0.55930607 0.53965248 0.53122308
 0.5185948  0.50021079 0.49246303 0.48182737 0.45999968 0.43484297
 0.41671756 0.3835566  0.34875236 0.33328474 0.30699904 0.28323089
 0.28516236 0.27181189 0.27078232]","[1.19031297 1.20301983 1.21964039 1.22856894 1.23300043 1.23454166
 1.23640858 1.24120895 1.240323  ]","[0.10233204 0.09707026 0.09291121 0.09034487 0.08991602 0.09036147
 0.09247543 0.09608796 0.10112025]"
5,5TO9,0.0,1.5,5.0,"[0.2632531  0.26631736 0.29139204 0.30821682 0.33843133 0.36964791
 0.40824035 0.445394   0.47940385 0.49529848 0.5094966  0.51544737
 0.52733195 0.54447517 0.57865668 0.59196711 0.60818871 0.6227637
 0.64197952 0.65385357 0.66428137 0.67508986 0.67722409 0.6740189
 0.67035248 0.66674091 0.66331373 0.65926079 0.64990745 0.64449922
 0.63267681 0.6277592  0.60887323 0.58941526 0.55897192 0.530516
 0.51247389 0.4861911  0.465958   0.4521968  0.43600887 0.42435039
 0.40334801 0.39477424 0.35390268 0.31772936 0.28984166 0.28421331
 0.26251253 0.25927053 0.26414558]","[1.1870586  1.19752625 1.22042423 1.22272176 1.22139172 1.2209367
 1.21682008 1.21240098 1.21273923]","[0.10447735 0.09873594 0.09459952 0.0915385  0.09078651 0.09105119
 0.09315792 0.09653833 0.10142553]"
6,5TO5,1.0,1.5,5.0,"[0.54956341 0.55107334 0.55278859 0.57220883 0.60498969 0.62959841
 0.6519906  0.65871405 0.68934273 0.69863374 0.70353675 0.70477647
 0.71648433 0.72792936 0.73305261 0.73485906 0.75048746 0.75844313
 0.76690454 0.76949642 0.79562984 0.79522985 0.80079921 0.8010736
 0.78753642 0.78426901 0.78461658 0.78148612 0.77829125 0.78560628
 0.78290295 0.77670988 0.76963638 0.7625284  0.75261098 0.7301515
 0.72526015 0.70922056 0.71307379 0.69990101 0.69207264 0.67737293
 0.66100694 0.66229184 0.63405757 0.61677769 0.5841217  0.56667045
 0.54231627 0.55475514 0.54984757]","[1.22858784 1.23364582 1.23787343 1.23099647 1.23151495 1.22935692
 1.23382846 1.23248985 1.23162338]","[0.15175897 0.14919862 0.14685624 0.14547429 0.14429606 0.14448835
 0.14570973 0.14751324 0.14906613]"
7,6TO6,1.0,1.5,5.0,"[0.49360163 0.49467658 0.52066497 0.54084367 0.54147719 0.57575017
 0.61179922 0.62086562 0.64239482 0.66617331 0.66093204 0.66767202
 0.67959242 0.6706496  0.69481794 0.70107814 0.71025981 0.7218538
 0.72737578 0.72706079 0.73653652 0.7294401  0.72976798 0.75316703
 0.74556401 0.74446492 0.73946864 0.72605447 0.72785668 0.70901546
 0.68946885 0.69768602 0.69948915 0.69476286 0.67739022 0.67273871
 0.65179766 0.64834336 0.63615182 0.62508564 0.60782119 0.60780422
 0.60500038 0.58496721 0.57393883 0.53628926 0.51201694 0.50434381
 0.48622574 0.49280895 0.49843343]","[1.20459882 1.20547657 1.20954108 1.217271   1.223552   1.22060395
 1.21416277 1.20870431 1.20755803]","[0.14996077 0.14748022 0.14547283 0.14394834 0.1437462  0.14363478
 0.14453469 0.14575701 0.14857517]"
8,7TO7,1.0,1.5,5.0,"[0.47417651 0.47160408 0.50974437 0.53300998 0.57240747 0.6063708
 0.63352705 0.68471254 0.70444677 0.69833167 0.70610321 0.70728503
 0.69823943 0.71679169 0.72732725 0.73697889 0.7545258  0.76671737
 0.76586174 0.76590274 0.76709187 0.77384472 0.77021819 0.77521092
 0.77608877 0.76828005 0.75337339 0.74077749 0.73836796 0.71494708
 0.69574843 0.69116754 0.68958304 0.68446483 0.66740889 0.64906788
 0.63598001 0.62732568 0.6074773  0.59965333 0.58732379 0.57375701
 0.55543153 0.55234793 0.5312846  0.49729567 0.48130925 0.47350063
 0.46444149 0.46183674 0.47701032]","[1.22244372 1.2246397  1.22710538 1.22067834 1.22333496 1.22376117
 1.23358122 1.23203489 1.2281772 ]","[0.15015751 0.14742872 0.14527469 0.14399997 0.14297885 0.14312105
 0.144322   0.14587757 0.14802093]"
9,8TO8,1.0,1.5,5.0,"[0.6765332  0.68161638 0.68745774 0.71346793 0.73364156 0.7329664
 0.74856927 0.77839157 0.77679124 0.78998254 0.79793701 0.8005086
 0.80994753 0.80507243 0.80917118 0.82113779 0.82758682 0.83759989
 0.84612803 0.84079513 0.83971492 0.84404914 0.84068254 0.83843327
 0.83462012 0.8367055  0.83232777 0.83331462 0.8352933  0.82755782
 0.83607033 0.8341406  0.83614935 0.83196741 0.82711504 0.82189098
 0.79385277 0.78336082 0.77762255 0.76685376 0.77060598 0.75740287
 0.74874499 0.74162157 0.74775244 0.73612041 0.70421149 0.68769613
 0.67627466 0.6660692  0.66208895]","[1.22876657 1.23268058 1.23660391 1.23652391 1.23903861 1.23551565
 1.23785157 1.23312632 1.23338363]","[0.15162808 0.14905238 0.14718585 0.14542201 0.1451746  0.14445412
 0.14581406 0.14685113 0.14930854]"
